Man United,"548,25 Mill.  ","20,31 Mill.  "
Chelsea,"530,30 Mill.  ","19,64 Mill.  "
Man City,"524,25 Mill.  ","22,79 Mill.  "
Arsenal,"490,50 Mill.  ","16,91 Mill.  "
Liverpool,"379,70 Mill.  ","13,56 Mill.  "
Tottenham,"375,00 Mill.  ","15,00 Mill.  "
Everton,"248,25 Mill.  ","8,87 Mill.  "
West Ham,"246,00 Mill.  ","9,11 Mill.  "
Leicester,"215,50 Mill.  ","8,29 Mill.  "
Southampton,"205,00 Mill.  ","7,59 Mill.  "
Stoke,"171,25 Mill.  ","6,34 Mill.  "
Crystal Palace,"160,75 Mill.  ","6,43 Mill.  "
Watford,"122,00 Mill.  ","4,36 Mill.  "
Bournemouth,"121,75 Mill.  ","4,51 Mill.  "
Swansea,"111,75 Mill.  ","4,66 Mill.  "
West Brom,"110,60 Mill.  ","5,03 Mill.  "
Middlesbrough,"102,75 Mill.  ","3,81 Mill.  "
Sunderland,"99,50 Mill.  ","3,98 Mill.  "
Hull,"84,85 Mill.  ","3,26 Mill.  "
Burnley,"69,00 Mill.  ","3,14 Mill.  "
